,/JS,/AA,/OpenAction,/AcroForm,/RichMedia,/Launch,/EmbeddedFile,/XFA,/URI,/F,/GoToE,/Extends,/Annot,/Length,/Filter,/FlateDecode,/XObject,/Encrypt,/CreationDate,/Author,subject,/ModDate,html,Script,powershell.exe,cmd.exe,ascii_c,sys,root,reg,exe,http,domain,filepath,ascii,xml,dll,unescape,%u9090%u9090,getIcon,temptmp,eval,%appdata%,chunk,base64,mkdir,replace,fromCharCode,getAnnots,ip,xref_size,trailer_size,file_size,nof_stream,class
file_000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2,2,1,0,1,0,0,0,0,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,21,85.421,5,0
file_001,2,0,1,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,10,15.579,8,1
file_002,2,0,1,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,10,7.987,9,1
file_003,2,0,1,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,10,8.094,9,1
file_004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,2,0,2,2,2,1,1,3,0,0,0,0,2,0,1,3,7,10,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,62,101,64.217,24,0
file_005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2,2,1,0,1,0,0,0,0,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,21,70.683,5,0
file_006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,2,1,1,1,2,0,0,0,0,0,0,1,2,6,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,10,19.563,12,0
file_007,2,0,1,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,11,11,8.468,9,1
file_008,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,11,2,0,2,2,2,1,1,2,0,0,0,2,0,0,1,3,6,13,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,35,128.701,27,0
file_009,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,10,2.031,5,1
file_010,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2,2,1,0,1,0,0,0,0,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,21,84.988,5,0
file_011,2,0,1,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,10,8.799,9,1
