file_name,/JS,/AA,/OpenAction,/AcroForm,/RichMedia,/Launch,/EmbeddedFile,/XFA,/URI,/F,/GoToE,/Extends,/Annot,/Length,/Filter,/FlateDecode,/XObject,/Encrypt,/CreationDate,/Author,subject,/ModDate,html,Script,powershell.exe,cmd.exe,sys,root,reg,exe,http,domain,filepath,ascii,xml,dll,unescape,%u9090%u9090,getIcon,temptmp,eval,%appdata%,chunk,base64,mkdir,replace,fromCharCode,getAnnots,ip,xref_size,trailer_size,file_size,nof_stream,class
file_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2,2,1,0,1,0,0,0,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,21,74.176,5,0
file_0002,0,0,0,2,0,0,10,0,0,0,0,6,0,0,49,48,0,0,0,1,6,0,2,9,0,0,9,3,0,3,11,6,50,50,11,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,78.697,154,0
file_0003,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,15,3,0,2,2,2,1,2,2,0,0,5,0,0,1,2,6,18,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,81,132,89.929,43,0
file_0004,0,0,1,0,0,0,0,0,0,0,0,0,0,1,15,15,0,0,2,2,3,1,1,2,0,0,0,0,0,2,3,9,17,22,2,0,0,0,0,1,0,0,0,0,0,0,0,0,7,230,430,69.377,44,0
file_0005,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,14,0,0,2,2,2,1,1,3,0,0,0,2,0,1,3,7,16,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,320,618,28.029,37,0
file_0006,1,0,0,1,0,0,0,0,0,2,0,0,0,0,23,22,8,0,2,2,2,1,1,3,0,0,9,0,0,1,2,6,31,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,43.689,70,0
file_0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,3,3,3,2,1,3,0,0,2,0,0,1,3,11,15,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,41,99,23.097,37,0
file_0008,0,0,0,1,0,0,0,0,3,0,0,0,3,3,20,19,3,0,2,2,2,1,2,2,0,0,5,0,0,1,2,6,22,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,129,211,172.99,50,0
file_0009,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,7,6,0,2,2,1,1,1,2,0,0,0,0,0,2,2,6,19,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41,72,110.953,41,0
file_0010,0,0,0,0,0,0,1,0,0,1,0,0,0,1,23,23,0,0,3,2,3,2,1,4,0,0,3,0,0,4,3,6,25,47,2,0,0,0,0,0,10,0,0,0,0,3,0,0,10,143,275,134.103,79,0
