,/JS,/OpenAction,/AcroForm,/Annot,/Length,/Filter,/FlateDecode,/XObject,/CreationDate,/Author,subject,/ModDate,Script,sys,exe,http,filepath,ascii,unescape,temptmp,eval,replace,fromCharCode,getAnnots,ip,xref_size,trailer_size,file_size,nof_stream,class
file_001,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0741502659215464,0.875,1.0
file_002,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03315785210982425,1.0,1.0
file_003,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03373559029183877,1.0,1.0
file_011,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03754218298642045,1.0,1.0
file_012,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.082497772738317,0.875,1.0
file_014,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03456710132015874,0.875,1.0
file_016,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03363300126886423,1.0,1.0
file_019,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.4,,,,,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.07653141113900813,0.875,1.0
file_021,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0840528063497206,0.875,1.0
file_023,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.6,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.03543640830431145,1.0,1.0
file_026,0.6666666666666666,1.0,,1.0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.6666666666666666,0.3,,,,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.034804675899678734,0.875,1.0
