BodyText_Section0
[('[0x00004D97]',), 68, 3, '0x8', 8]
[('[0x00004D8B]',), 67, 3, '0x8', 8]
[('[0x00004D6F]',), 66, 2, '0x18', 24]
[('[0x00004D3C]',), 72, 2, '0x2f', 47]
[('[0x00004D30]',), 68, 3, '0x8', 8]
[('[0x00004D1E]',), 67, 3, '0xe', 14]
[('[0x00004D02]',), 66, 2, '0x18', 24]
[('[0x00004CCF]',), 72, 2, '0x2f', 47]
[('[0x00004CC3]',), 68, 3, '0x8', 8]
[('[0x00004CB3]',), 67, 3, '0xc', 12]
[('[0x00004C97]',), 66, 2, '0x18', 24]
[('[0x00004C64]',), 72, 2, '0x2f', 47]
[('[0x00004C58]',), 68, 3, '0x8', 8]
[('[0x00004C4C]',), 67, 3, '0x8', 8]
[('[0x00004C30]',), 66, 2, '0x18', 24]
[('[0x00004BFD]',), 72, 2, '0x2f', 47]
[('[0x00004BF1]',), 68, 3, '0x8', 8]
[('[0x00004BDD]',), 67, 3, '0x10', 16]
[('[0x00004BC1]',), 66, 2, '0x18', 24]
[('[0x00004B8E]',), 72, 2, '0x2f', 47]
[('[0x00004B82]',), 68, 3, '0x8', 8]
[('[0x00004B62]',), 67, 3, '0x1c', 28]
[('[0x00004B46]',), 66, 2, '0x18', 24]
[('[0x00004B13]',), 72, 2, '0x2f', 47]
[('[0x00004B07]',), 68, 3, '0x8', 8]
[('[0x00004AFD]',), 67, 3, '0x6', 6]
[('[0x00004AE1]',), 66, 2, '0x18', 24]
[('[0x00004AAE]',), 72, 2, '0x2f', 47]
[('[0x00004AA2]',), 68, 3, '0x8', 8]
[('[0x00004A8C]',), 67, 3, '0x12', 18]
[('[0x00004A70]',), 66, 2, '0x18', 24]
[('[0x00004A3D]',), 72, 2, '0x2f', 47]
[('[0x00004A31]',), 68, 3, '0x8', 8]
[('[0x00004A27]',), 67, 3, '0x6', 6]
[('[0x00004A0B]',), 66, 2, '0x18', 24]
[('[0x000049D8]',), 72, 2, '0x2f', 47]
[('[0x000049C4]',), 71, 3, '0x10', 16]
[('[0x00004968]',), 68, 3, '0x58', 88]
[('[0x00004866]',), 67, 3, '0xfe', 254]
[('[0x0000484A]',), 66, 2, '0x18', 24]
[('[0x00004817]',), 72, 2, '0x2f', 47]
[('[0x00004803]',), 71, 3, '0x10', 16]
[('[0x000047E7]',), 68, 3, '0x18', 24]
[('[0x00004769]',), 67, 3, '0x7a', 122]
[('[0x0000474D]',), 66, 2, '0x18', 24]
[('[0x0000471A]',), 72, 2, '0x2f', 47]
[('[0x00004706]',), 68, 3, '0x10', 16]
[('[0x000046F8]',), 67, 3, '0xa', 10]
[('[0x000046DC]',), 66, 2, '0x18', 24]
[('[0x000046A9]',), 72, 2, '0x2f', 47]
[('[0x00004695]',), 68, 3, '0x10', 16]
[('[0x0000466D]',), 67, 3, '0x24', 36]
[('[0x00004651]',), 66, 2, '0x18', 24]
[('[0x0000461E]',), 72, 2, '0x2f', 47]
[('[0x00004612]',), 68, 3, '0x8', 8]
[('[0x000045C8]',), 67, 3, '0x46', 70]
[('[0x000045AC]',), 66, 2, '0x18', 24]
[('[0x00004579]',), 72, 2, '0x2f', 47]
[('[0x0000456D]',), 68, 3, '0x8', 8]
[('[0x0000455F]',), 67, 3, '0xa', 10]
[('[0x00004543]',), 66, 2, '0x18', 24]
[('[0x00004510]',), 72, 2, '0x2f', 47]
[('[0x000044EC]',), 68, 3, '0x20', 32]
[('[0x000044C8]',), 67, 3, '0x20', 32]
[('[0x000044AC]',), 66, 2, '0x18', 24]
[('[0x000044A0]',), 68, 3, '0x8', 8]
[('[0x00004484]',), 66, 2, '0x18', 24]
[('[0x00004478]',), 68, 3, '0x8', 8]
[('[0x0000441E]',), 67, 3, '0x56', 86]
[('[0x00004402]',), 66, 2, '0x18', 24]
[('[0x000043F6]',), 68, 5, '0x8', 8]
[('[0x000043D8]',), 67, 5, '0x1a', 26]
[('[0x000043BC]',), 66, 4, '0x18', 24]
[('[0x00004389]',), 72, 4, '0x2f', 47]
[('[0x0000437D]',), 68, 5, '0x8', 8]
[('[0x0000436F]',), 67, 5, '0xa', 10]
[('[0x00004353]',), 66, 4, '0x18', 24]
[('[0x00004320]',), 72, 4, '0x2f', 47]
[('[0x00004314]',), 68, 5, '0x8', 8]
[('[0x0000430C]',), 67, 5, '0x4', 4]
[('[0x000042F0]',), 66, 4, '0x18', 24]
[('[0x000042BD]',), 72, 4, '0x2f', 47]
[('[0x000042B1]',), 68, 5, '0x8', 8]
[('[0x000042A7]',), 67, 5, '0x6', 6]
