BodyText_Section0
[('[0x000681A5]',), 69, 5, '0x24', 36]
[('[0x00068169]',), 68, 5, '0x38', 56]
[('[0x000680DB]',), 67, 5, '0x8a', 138]
[('[0x000680BF]',), 66, 4, '0x18', 24]
[('[0x0006808C]',), 72, 4, '0x2f', 47]
[('[0x00068064]',), 69, 5, '0x24', 36]
[('[0x00068058]',), 68, 5, '0x8', 8]
[('[0x0006803C]',), 66, 4, '0x18', 24]
[('[0x00068009]',), 72, 4, '0x2f', 47]
[('[0x00067FE1]',), 69, 5, '0x24', 36]
[('[0x00067FD5]',), 68, 5, '0x8', 8]
[('[0x00067FB9]',), 66, 4, '0x18', 24]
[('[0x00067F86]',), 72, 4, '0x2f', 47]
[('[0x00067F5E]',), 69, 5, '0x24', 36]
[('[0x00067F52]',), 68, 5, '0x8', 8]
[('[0x00067F36]',), 66, 4, '0x18', 24]
[('[0x00067F03]',), 72, 4, '0x2f', 47]
[('[0x00067EDB]',), 69, 5, '0x24', 36]
[('[0x00067ECF]',), 68, 5, '0x8', 8]
[('[0x00067EA7]',), 67, 5, '0x24', 36]
[('[0x00067E8B]',), 66, 4, '0x18', 24]
[('[0x00067E58]',), 72, 4, '0x2f', 47]
[('[0x00067E30]',), 69, 5, '0x24', 36]
[('[0x00067E24]',), 68, 5, '0x8', 8]
[('[0x00067E08]',), 66, 4, '0x18', 24]
[('[0x00067DD5]',), 72, 4, '0x2f', 47]
[('[0x00067DB5]',), 77, 4, '0x1c', 28]
[('[0x00067D83]',), 71, 3, '0x2e', 46]
[('[0x00067D5B]',), 69, 3, '0x24', 36]
[('[0x00067D4F]',), 68, 3, '0x8', 8]
[('[0x00067D39]',), 67, 3, '0x12', 18]
[('[0x00067D1D]',), 66, 2, '0x18', 24]
[('[0x00067CAD]',), 69, 3, '0x6c', 108]
[('[0x00067C81]',), 68, 3, '0x28', 40]
[('[0x00067BB5]',), 67, 3, '0xc8', 200]
[('[0x00067B99]',), 66, 2, '0x18', 24]
[('[0x00067B66]',), 72, 2, '0x2f', 47]
