BodyText_Section0
[('[0x00011E40]',), 69, 1, '0x24', 36]
[('[0x00011E34]',), 68, 1, '0x8', 8]
[('[0x00011E18]',), 66, 0, '0x18', 24]
[('[0x00011DF0]',), 69, 1, '0x24', 36]
[('[0x00011DE4]',), 68, 1, '0x8', 8]
[('[0x00011DC8]',), 66, 0, '0x18', 24]
[('[0x00011DA0]',), 69, 1, '0x24', 36]
[('[0x00011D94]',), 68, 1, '0x8', 8]
[('[0x00011D56]',), 67, 1, '0x3a', 58]
[('[0x00011D3A]',), 66, 0, '0x18', 24]
[('[0x00011D12]',), 69, 1, '0x24', 36]
[('[0x00011D06]',), 68, 1, '0x8', 8]
[('[0x00011CBE]',), 67, 1, '0x44', 68]
[('[0x00011CA2]',), 66, 0, '0x18', 24]
[('[0x00011C7A]',), 69, 1, '0x24', 36]
[('[0x00011C6E]',), 68, 1, '0x8', 8]
[('[0x00011C36]',), 67, 1, '0x34', 52]
[('[0x00011C1A]',), 66, 0, '0x18', 24]
[('[0x00011BF2]',), 69, 1, '0x24', 36]
[('[0x00011BE6]',), 68, 1, '0x8', 8]
[('[0x00011B92]',), 67, 1, '0x50', 80]
[('[0x00011B76]',), 66, 0, '0x18', 24]
[('[0x00011B4E]',), 69, 1, '0x24', 36]
[('[0x00011B42]',), 68, 1, '0x8', 8]
[('[0x00011AFC]',), 67, 1, '0x42', 66]
[('[0x00011AE0]',), 66, 0, '0x18', 24]
[('[0x00011AB8]',), 69, 1, '0x24', 36]
[('[0x00011AAC]',), 68, 1, '0x8', 8]
[('[0x00011A68]',), 67, 1, '0x40', 64]
[('[0x00011A4C]',), 66, 0, '0x18', 24]
[('[0x00011A24]',), 69, 1, '0x24', 36]
[('[0x00011A18]',), 68, 1, '0x8', 8]
[('[0x000119B6]',), 67, 1, '0x5e', 94]
[('[0x0001199A]',), 66, 0, '0x18', 24]
[('[0x00011972]',), 69, 1, '0x24', 36]
[('[0x00011966]',), 68, 1, '0x8', 8]
[('[0x000118FA]',), 67, 1, '0x68', 104]
[('[0x000118DE]',), 66, 0, '0x18', 24]
[('[0x000118B6]',), 69, 1, '0x24', 36]
[('[0x000118AA]',), 68, 1, '0x8', 8]
[('[0x00011840]',), 67, 1, '0x66', 102]
[('[0x00011824]',), 66, 0, '0x18', 24]
[('[0x000117FC]',), 69, 1, '0x24', 36]
[('[0x000117F0]',), 68, 1, '0x8', 8]
[('[0x00011780]',), 67, 1, '0x6c', 108]
[('[0x00011764]',), 66, 0, '0x18', 24]
[('[0x0001173C]',), 69, 1, '0x24', 36]
[('[0x00011730]',), 68, 1, '0x8', 8]
[('[0x000116D2]',), 67, 1, '0x5a', 90]
[('[0x000116B6]',), 66, 0, '0x18', 24]
[('[0x0001168E]',), 69, 1, '0x24', 36]
[('[0x00011682]',), 68, 1, '0x8', 8]
[('[0x0001162E]',), 67, 1, '0x50', 80]
[('[0x00011612]',), 66, 0, '0x18', 24]
[('[0x000115EA]',), 69, 1, '0x24', 36]
[('[0x000115DE]',), 68, 1, '0x8', 8]
[('[0x00011584]',), 67, 1, '0x56', 86]
[('[0x00011568]',), 66, 0, '0x18', 24]
[('[0x00011540]',), 69, 1, '0x24', 36]
[('[0x00011534]',), 68, 1, '0x8', 8]
[('[0x000114DC]',), 67, 1, '0x54', 84]
[('[0x000114C0]',), 66, 0, '0x18', 24]
[('[0x00011498]',), 69, 1, '0x24', 36]
[('[0x0001148C]',), 68, 1, '0x8', 8]
[('[0x0001142C]',), 67, 1, '0x5c', 92]
[('[0x00011410]',), 66, 0, '0x18', 24]
[('[0x000113E8]',), 69, 1, '0x24', 36]
[('[0x000113DC]',), 68, 1, '0x8', 8]
[('[0x0001137E]',), 67, 1, '0x5a', 90]
[('[0x00011362]',), 66, 0, '0x18', 24]
[('[0x0001133A]',), 69, 1, '0x24', 36]
[('[0x0001132E]',), 68, 1, '0x8', 8]
[('[0x000112D6]',), 67, 1, '0x54', 84]
[('[0x000112BA]',), 66, 0, '0x18', 24]
[('[0x00011292]',), 69, 1, '0x24', 36]
[('[0x00011286]',), 68, 1, '0x8', 8]
[('[0x0001122E]',), 67, 1, '0x54', 84]
[('[0x00011212]',), 66, 0, '0x18', 24]
[('[0x000111EA]',), 69, 1, '0x24', 36]
[('[0x000111DE]',), 68, 1, '0x8', 8]
[('[0x000111A0]',), 67, 1, '0x3a', 58]
[('[0x00011184]',), 66, 0, '0x18', 24]
[('[0x0001115C]',), 69, 1, '0x24', 36]
[('[0x00011150]',), 68, 1, '0x8', 8]
[('[0x0001110A]',), 67, 1, '0x42', 66]
[('[0x000110EE]',), 66, 0, '0x18', 24]
[('[0x000110C6]',), 69, 1, '0x24', 36]
[('[0x000110BA]',), 68, 1, '0x8', 8]
[('[0x0001106A]',), 67, 1, '0x4c', 76]
[('[0x0001104E]',), 66, 0, '0x18', 24]
[('[0x00011026]',), 69, 1, '0x24', 36]
[('[0x0001101A]',), 68, 1, '0x8', 8]
[('[0x00010FC0]',), 67, 1, '0x56', 86]
[('[0x00010FA4]',), 66, 0, '0x18', 24]
[('[0x00010F7C]',), 69, 1, '0x24', 36]
[('[0x00010F70]',), 68, 1, '0x8', 8]
[('[0x00010F54]',), 66, 0, '0x18', 24]
[('[0x00010F2C]',), 69, 1, '0x24', 36]
[('[0x00010F20]',), 68, 1, '0x8', 8]
[('[0x00010F12]',), 67, 1, '0xa', 10]
[('[0x00010EF6]',), 66, 0, '0x18', 24]
[('[0x00010ECE]',), 69, 1, '0x24', 36]
[('[0x00010EC2]',), 68, 1, '0x8', 8]
[('[0x00010E62]',), 67, 1, '0x5c', 92]
[('[0x00010E46]',), 66, 0, '0x18', 24]
[('[0x00010E1E]',), 69, 1, '0x24', 36]
[('[0x00010E12]',), 68, 1, '0x8', 8]
[('[0x00010DA4]',), 67, 1, '0x6a', 106]
[('[0x00010D88]',), 66, 0, '0x18', 24]
[('[0x00010D60]',), 69, 1, '0x24', 36]
[('[0x00010D54]',), 68, 1, '0x8', 8]
[('[0x00010CE4]',), 67, 1, '0x6c', 108]
[('[0x00010CC8]',), 66, 0, '0x18', 24]
[('[0x00010CA0]',), 69, 1, '0x24', 36]
[('[0x00010C94]',), 68, 1, '0x8', 8]
[('[0x00010C2E]',), 67, 1, '0x62', 98]
[('[0x00010C12]',), 66, 0, '0x18', 24]
[('[0x00010BEA]',), 69, 1, '0x24', 36]
[('[0x00010BDE]',), 68, 1, '0x8', 8]
[('[0x00010B76]',), 67, 1, '0x64', 100]
[('[0x00010B5A]',), 66, 0, '0x18', 24]
[('[0x00010B32]',), 69, 1, '0x24', 36]
[('[0x00010B26]',), 68, 1, '0x8', 8]
[('[0x00010AC4]',), 67, 1, '0x5e', 94]
[('[0x00010AA8]',), 66, 0, '0x18', 24]
[('[0x00010A80]',), 69, 1, '0x24', 36]
[('[0x00010A74]',), 68, 1, '0x8', 8]
[('[0x00010A0A]',), 67, 1, '0x66', 102]
[('[0x000109EE]',), 66, 0, '0x18', 24]
[('[0x000109C6]',), 69, 1, '0x24', 36]
[('[0x000109BA]',), 68, 1, '0x8', 8]
[('[0x00010958]',), 67, 1, '0x5e', 94]
[('[0x0001093C]',), 66, 0, '0x18', 24]
[('[0x00010914]',), 69, 1, '0x24', 36]
[('[0x00010908]',), 68, 1, '0x8', 8]
[('[0x000108A0]',), 67, 1, '0x64', 100]
[('[0x00010884]',), 66, 0, '0x18', 24]
[('[0x0001085C]',), 69, 1, '0x24', 36]
[('[0x00010850]',), 68, 1, '0x8', 8]
[('[0x000107EE]',), 67, 1, '0x5e', 94]
[('[0x000107D2]',), 66, 0, '0x18', 24]
[('[0x000107AA]',), 69, 1, '0x24', 36]
[('[0x0001079E]',), 68, 1, '0x8', 8]
[('[0x0001073C]',), 67, 1, '0x5e', 94]
[('[0x00010720]',), 66, 0, '0x18', 24]
[('[0x000106F8]',), 69, 1, '0x24', 36]
[('[0x000106EC]',), 68, 1, '0x8', 8]
[('[0x00010690]',), 67, 1, '0x58', 88]
[('[0x00010674]',), 66, 0, '0x18', 24]
[('[0x0001064C]',), 69, 1, '0x24', 36]
[('[0x00010640]',), 68, 1, '0x8', 8]
[('[0x000105E4]',), 67, 1, '0x58', 88]
[('[0x000105C8]',), 66, 0, '0x18', 24]
[('[0x000105A0]',), 69, 1, '0x24', 36]
[('[0x00010594]',), 68, 1, '0x8', 8]
[('[0x0001052C]',), 67, 1, '0x64', 100]
[('[0x00010510]',), 66, 0, '0x18', 24]
[('[0x000104E8]',), 69, 1, '0x24', 36]
[('[0x000104DC]',), 68, 1, '0x8', 8]
[('[0x0001049A]',), 67, 1, '0x3e', 62]
[('[0x0001047E]',), 66, 0, '0x18', 24]
[('[0x00010456]',), 69, 1, '0x24', 36]
[('[0x0001044A]',), 68, 1, '0x8', 8]
[('[0x0001040C]',), 67, 1, '0x3a', 58]
[('[0x000103F0]',), 66, 0, '0x18', 24]
[('[0x000103C8]',), 69, 1, '0x24', 36]
[('[0x000103BC]',), 68, 1, '0x8', 8]
[('[0x0001036E]',), 67, 1, '0x4a', 74]
[('[0x00010352]',), 66, 0, '0x18', 24]
[('[0x0001032A]',), 69, 1, '0x24', 36]
[('[0x0001031E]',), 68, 1, '0x8', 8]
[('[0x000102D2]',), 67, 1, '0x48', 72]
[('[0x000102B6]',), 66, 0, '0x18', 24]
[('[0x0001028E]',), 69, 1, '0x24', 36]
[('[0x00010282]',), 68, 1, '0x8', 8]
[('[0x00010240]',), 67, 1, '0x3e', 62]
[('[0x00010224]',), 66, 0, '0x18', 24]
[('[0x000101FC]',), 69, 1, '0x24', 36]
[('[0x000101F0]',), 68, 1, '0x8', 8]
[('[0x000101A0]',), 67, 1, '0x4c', 76]
[('[0x00010184]',), 66, 0, '0x18', 24]
[('[0x0001015C]',), 69, 1, '0x24', 36]
[('[0x00010150]',), 68, 1, '0x8', 8]
[('[0x00010100]',), 67, 1, '0x4c', 76]
[('[0x000100E4]',), 66, 0, '0x18', 24]
[('[0x000100BC]',), 69, 1, '0x24', 36]
[('[0x000100B0]',), 68, 1, '0x8', 8]
[('[0x0001004C]',), 67, 1, '0x60', 96]
[('[0x00010030]',), 66, 0, '0x18', 24]
[('[0x00010008]',), 69, 1, '0x24', 36]
[('[0x0000FFFC]',), 68, 1, '0x8', 8]
[('[0x0000FFAC]',), 67, 1, '0x4c', 76]
[('[0x0000FF90]',), 66, 0, '0x18', 24]
[('[0x0000FF68]',), 69, 1, '0x24', 36]
[('[0x0000FF5C]',), 68, 1, '0x8', 8]
[('[0x0000FF06]',), 67, 1, '0x52', 82]
[('[0x0000FEEA]',), 66, 0, '0x18', 24]
[('[0x0000FEC2]',), 69, 1, '0x24', 36]
[('[0x0000FEB6]',), 68, 1, '0x8', 8]
[('[0x0000FE76]',), 67, 1, '0x3c', 60]
[('[0x0000FE5A]',), 66, 0, '0x18', 24]
[('[0x0000FE32]',), 69, 1, '0x24', 36]
[('[0x0000FE26]',), 68, 1, '0x8', 8]
[('[0x0000FDEA]',), 67, 1, '0x38', 56]
