BodyText_Section0
[('[0x00007B39]',), 69, 1, '0x24', 36]
[('[0x00007B2D]',), 68, 1, '0x8', 8]
[('[0x00007B21]',), 67, 1, '0x8', 8]
[('[0x00007B05]',), 66, 0, '0x18', 24]
[('[0x00007ADD]',), 69, 1, '0x24', 36]
[('[0x00007AD1]',), 68, 1, '0x8', 8]
[('[0x00007AB5]',), 66, 0, '0x18', 24]
[('[0x00007A69]',), 69, 3, '0x48', 72]
[('[0x00007A5D]',), 68, 3, '0x8', 8]
[('[0x00007989]',), 67, 3, '0xd0', 208]
[('[0x0000796D]',), 66, 2, '0x18', 24]
[('[0x00007945]',), 69, 3, '0x24', 36]
[('[0x00007939]',), 68, 3, '0x8', 8]
[('[0x0000792B]',), 67, 3, '0xa', 10]
[('[0x0000790F]',), 66, 2, '0x18', 24]
[('[0x000078DC]',), 72, 2, '0x2f', 47]
[('[0x000078B4]',), 69, 3, '0x24', 36]
[('[0x000078A8]',), 68, 3, '0x8', 8]
[('[0x0000788C]',), 66, 2, '0x18', 24]
[('[0x0000782D]',), 85, 5, '0x5b', 91]
[('[0x00007765]',), 76, 4, '0xc4', 196]
[('[0x0000773D]',), 69, 5, '0x24', 36]
[('[0x00007731]',), 68, 5, '0x8', 8]
[('[0x000076DF]',), 67, 5, '0x4e', 78]
[('[0x000076C3]',), 66, 4, '0x18', 24]
[('[0x000076A1]',), 72, 4, '0x1e', 30]
[('[0x000075D7]',), 71, 3, '0xc6', 198]
[('[0x000075AF]',), 69, 3, '0x24', 36]
[('[0x000075A3]',), 68, 3, '0x8', 8]
[('[0x0000758D]',), 67, 3, '0x12', 18]
[('[0x00007571]',), 66, 2, '0x18', 24]
[('[0x00007549]',), 69, 3, '0x24', 36]
[('[0x0000753D]',), 68, 3, '0x8', 8]
[('[0x00007521]',), 66, 2, '0x18', 24]
[('[0x000074F9]',), 69, 3, '0x24', 36]
[('[0x000074E5]',), 68, 3, '0x10', 16]
