BodyText_Section0
[('[0x0000297A]',), 71, 1, '0x8b', 139]
[('[0x00002952]',), 69, 1, '0x24', 36]
[('[0x00002936]',), 68, 1, '0x18', 24]
[('[0x000028A6]',), 67, 1, '0x8c', 140]
[('[0x0000288A]',), 66, 0, '0x18', 24]
[('[0x00002862]',), 69, 1, '0x24', 36]
[('[0x00002856]',), 68, 1, '0x8', 8]
[('[0x0000283A]',), 67, 1, '0x18', 24]
[('[0x0000281E]',), 66, 0, '0x18', 24]
[('[0x0000278F]',), 71, 1, '0x8b', 139]
[('[0x00002767]',), 69, 1, '0x24', 36]
[('[0x0000274B]',), 68, 1, '0x18', 24]
[('[0x000026BB]',), 67, 1, '0x8c', 140]
[('[0x0000269F]',), 66, 0, '0x18', 24]
[('[0x00002677]',), 69, 1, '0x24', 36]
[('[0x0000266B]',), 68, 1, '0x8', 8]
[('[0x0000264F]',), 67, 1, '0x18', 24]
[('[0x00002633]',), 66, 0, '0x18', 24]
[('[0x0000260B]',), 69, 1, '0x24', 36]
[('[0x000025FF]',), 68, 1, '0x8', 8]
[('[0x000025D1]',), 67, 1, '0x2a', 42]
[('[0x000025B5]',), 66, 0, '0x18', 24]
[('[0x0000258D]',), 69, 1, '0x24', 36]
[('[0x00002581]',), 68, 1, '0x8', 8]
[('[0x00002561]',), 67, 1, '0x1c', 28]
[('[0x00002545]',), 66, 0, '0x18', 24]
[('[0x0000251D]',), 69, 1, '0x24', 36]
[('[0x00002509]',), 68, 1, '0x10', 16]
[('[0x000024C5]',), 67, 1, '0x40', 64]
[('[0x000024A9]',), 66, 0, '0x18', 24]
[('[0x00002481]',), 69, 1, '0x24', 36]
[('[0x00002475]',), 68, 1, '0x8', 8]
[('[0x00002463]',), 67, 1, '0xe', 14]
[('[0x00002447]',), 66, 0, '0x18', 24]
[('[0x0000241F]',), 69, 1, '0x24', 36]
[('[0x00002413]',), 68, 1, '0x8', 8]
[('[0x000023F7]',), 66, 0, '0x18', 24]
[('[0x000023CF]',), 69, 1, '0x24', 36]
[('[0x000023C3]',), 68, 1, '0x8', 8]
[('[0x000023A1]',), 67, 1, '0x1e', 30]
[('[0x00002385]',), 66, 0, '0x18', 24]
[('[0x0000235D]',), 69, 1, '0x24', 36]
[('[0x00002349]',), 68, 1, '0x10', 16]
[('[0x00002303]',), 67, 1, '0x42', 66]
[('[0x000022E7]',), 66, 0, '0x18', 24]
[('[0x000022BF]',), 69, 1, '0x24', 36]
[('[0x000022B3]',), 68, 1, '0x8', 8]
